Marital Status,Distance From Home,Employee Number,Age,Education Field,Gender,Education,CF_age band,CF_current Employee,Over18,emp no
Single,1,1,41,Life Sciences,Female,Associates Degree,35 - 44,0,Y,STAFF-1
Married,8,2,49,Life Sciences,Male,High School,45 - 54,1,Y,STAFF-2
Single,2,4,37,Other,Male,Associates Degree,35 - 44,0,Y,STAFF-4
Married,3,5,33,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-5
Married,2,7,27,Medical,Male,High School,25 - 34,1,Y,STAFF-7
Single,2,8,32,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-8
Married,3,10,59,Medical,Female,Bachelor's Degree,Over 55,1,Y,STAFF-10
Divorced,24,11,30,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-11
Single,23,12,38,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-12
Married,27,13,36,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-13
Married,16,14,35,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-14
Single,15,15,29,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-15
Divorced,26,16,31,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-16
Divorced,19,18,34,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-18
Single,24,19,28,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-19
Divorced,21,20,29,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-20
Divorced,5,21,32,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-21
Divorced,16,22,22,Medical,Male,Associates Degree,Under 25,1,Y,STAFF-22
Married,2,23,53,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-23
Single,2,24,38,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-24
Divorced,11,26,24,Other,Female,Associates Degree,Under 25,1,Y,STAFF-26
Single,9,27,36,Life Sciences,Male,Master's Degree,35 - 44,0,Y,STAFF-27
Single,7,28,34,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-28
Single,15,30,21,Life Sciences,Male,Associates Degree,Under 25,1,Y,STAFF-30
Single,6,31,34,Medical,Male,High School,25 - 34,0,Y,STAFF-31
Divorced,5,32,53,Other,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-32
Single,16,33,32,Life Sciences,Female,High School,25 - 34,0,Y,STAFF-33
Married,8,35,42,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-35
Married,7,36,44,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-36
Single,2,38,46,Marketing,Female,Master's Degree,45 - 54,1,Y,STAFF-38
Single,2,39,33,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-39
Married,10,40,44,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-40
Single,9,41,30,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-41
Married,5,42,39,Technical Degree,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-42
Married,1,45,24,Medical,Male,Bachelor's Degree,Under 25,0,Y,STAFF-45
Divorced,2,46,43,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-46
Married,3,47,50,Marketing,Male,Associates Degree,45 - 54,0,Y,STAFF-47
Married,2,49,35,Marketing,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-49
Married,5,51,36,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-51
Married,1,52,33,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-52
Divorced,4,53,35,Other,Male,Associates Degree,35 - 44,1,Y,STAFF-53
Divorced,2,54,27,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-54
Single,25,55,26,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-55
Single,8,56,27,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-56
Single,1,57,30,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-57
Married,12,58,41,Technical Degree,Female,Bachelor's Degree,35 - 44,0,Y,STAFF-58
Single,23,60,34,Marketing,Male,Master's Degree,25 - 34,1,Y,STAFF-60
Married,19,61,37,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-61
Single,5,62,46,Marketing,Male,Master's Degree,45 - 54,1,Y,STAFF-62
Married,8,63,35,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-63
Single,1,64,48,Life Sciences,Male,Associates Degree,45 - 54,0,Y,STAFF-64
Single,5,65,28,Technical Degree,Male,Master's Degree,25 - 34,0,Y,STAFF-65
