Job Role,Employee Number,Years In Current Role,Department,Years At Company,Job Involvement,Business Travel,Monthly Income,Job Level,Total Working Years,Daily Rate,Hourly Rate,Monthly Rate,Percent Salary Hike,Num Companies Worked,Stock Option Level,Standard Hours,Training Times Last Year,Years Since Last Promotion,Years With Curr Manager
Sales Executive,1,4,Sales,6,3,Travel_Rarely,5993,2,8,1102,94,19479,11,8,0,80,0,0,5
Research Scientist,2,7,R&D,10,2,Travel_Frequently,5130,2,10,279,61,24907,23,1,1,80,3,1,7
Laboratory Technician,4,0,R&D,0,2,Travel_Rarely,2090,1,7,1373,92,2396,15,6,0,80,3,0,0
Research Scientist,5,7,R&D,8,3,Travel_Frequently,2909,1,8,1392,56,23159,11,1,0,80,3,3,0
Laboratory Technician,7,2,R&D,2,3,Travel_Rarely,3468,1,6,591,40,16632,12,9,1,80,3,2,2
Laboratory Technician,8,7,R&D,7,3,Travel_Frequently,3068,1,8,1005,79,11864,13,0,0,80,2,3,6
Laboratory Technician,10,0,R&D,1,4,Travel_Rarely,2670,1,12,1324,81,9964,20,4,3,80,3,0,0
Laboratory Technician,11,0,R&D,1,3,Travel_Rarely,2693,1,1,1358,67,13335,22,1,1,80,2,0,0
Manufacturing Director,12,7,R&D,9,2,Travel_Frequently,9526,3,10,216,44,8787,21,0,0,80,2,1,8
Healthcare Representative,13,7,R&D,7,3,Travel_Rarely,5237,2,17,1299,94,16577,13,6,2,80,3,7,7
Laboratory Technician,14,4,R&D,5,4,Travel_Rarely,2426,1,6,809,84,16479,13,0,1,80,5,0,3
Laboratory Technician,15,5,R&D,9,2,Travel_Rarely,4193,2,10,153,49,12682,12,0,0,80,3,0,8
Research Scientist,16,2,R&D,5,3,Travel_Rarely,2911,1,5,670,31,15170,17,1,1,80,1,4,3
Laboratory Technician,18,2,R&D,2,3,Travel_Rarely,2661,1,3,1346,93,8758,11,0,1,80,2,1,2
Laboratory Technician,19,2,R&D,4,2,Travel_Rarely,2028,1,6,103,50,12947,14,5,0,80,4,0,3
Manufacturing Director,20,9,R&D,10,4,Travel_Rarely,9980,3,10,1389,51,10195,11,1,1,80,1,8,8
Research Scientist,21,2,R&D,6,4,Travel_Rarely,3298,1,7,334,80,15053,12,0,2,80,5,0,5
Laboratory Technician,22,0,R&D,1,4,Non-Travel,2935,1,1,1123,96,7324,13,1,2,80,2,0,0
Manager,23,8,Sales,25,2,Travel_Rarely,15427,4,31,1219,78,22021,16,2,0,80,3,3,7
Research Scientist,24,2,R&D,3,3,Travel_Rarely,3944,1,6,371,45,4306,11,5,0,80,3,1,2
Manufacturing Director,26,2,R&D,4,4,Non-Travel,4011,2,5,673,96,8232,18,0,1,80,5,1,3
Sales Representative,27,3,Sales,5,2,Travel_Rarely,3407,1,10,1218,82,6986,23,7,0,80,4,0,3
Research Director,28,6,R&D,12,3,Travel_Rarely,11994,3,13,419,53,21293,11,0,0,80,4,2,11
Research Scientist,30,0,R&D,0,3,Travel_Rarely,1232,1,0,391,96,19281,14,1,0,80,6,0,0
Research Scientist,31,2,R&D,4,3,Travel_Rarely,2960,1,8,699,83,17102,11,2,0,80,2,1,3
Manager,32,13,R&D,14,3,Travel_Rarely,19094,5,26,1282,58,10735,11,4,1,80,3,4,8
Research Scientist,33,2,R&D,10,1,Travel_Frequently,3919,1,10,1125,72,4681,22,1,0,80,5,6,7
Sales Executive,35,7,Sales,9,3,Travel_Rarely,6825,2,10,691,48,21173,11,0,1,80,2,4,2
Healthcare Representative,36,6,R&D,22,2,Travel_Rarely,10248,3,24,477,42,2094,14,3,1,80,4,5,17
Manager,38,2,Sales,2,3,Travel_Rarely,18947,5,22,705,83,22822,12,3,0,80,2,2,1
Laboratory Technician,39,1,R&D,1,3,Travel_Rarely,2496,1,7,924,78,6670,11,4,0,80,3,0,0
Healthcare Representative,40,2,R&D,4,3,Travel_Rarely,6465,2,9,1459,41,19121,13,2,0,80,5,1,3
Laboratory Technician,41,0,R&D,10,2,Travel_Rarely,2206,1,10,125,83,16117,13,1,0,80,5,1,8
Sales Representative,42,0,Sales,1,3,Travel_Rarely,2086,2,19,895,56,3335,14,3,1,80,6,0,0
Research Scientist,45,0,R&D,2,3,Travel_Rarely,2293,1,6,813,61,3020,16,2,1,80,2,2,0
Research Scientist,46,3,R&D,5,4,Travel_Rarely,2645,1,6,1273,72,21923,12,1,2,80,3,1,4
