Employee Number,Job Role,Department,Business Travel,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Total Working Years,Job Level,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance,Relationship Satisfaction,Job Involvement,Training Times Last Year,Over Time
1,Sales Executive,Sales,Travel_Rarely,6,4,0,5,8,2,3,4,2,1,1,3,0,Yes
2,Research Scientist,R&D,Travel_Frequently,10,7,1,7,10,2,4,2,3,3,4,2,3,No
4,Laboratory Technician,R&D,Travel_Rarely,0,0,0,0,7,1,3,3,4,3,2,2,3,Yes
5,Research Scientist,R&D,Travel_Frequently,8,7,3,0,8,1,3,3,4,3,3,3,3,Yes
7,Laboratory Technician,R&D,Travel_Rarely,2,2,2,2,6,1,3,2,1,3,4,3,3,No
8,Laboratory Technician,R&D,Travel_Frequently,7,7,3,6,8,1,3,4,4,2,3,3,2,No
10,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,12,1,4,1,3,2,1,4,3,Yes
11,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,4,3,4,3,2,3,2,No
12,Manufacturing Director,R&D,Travel_Frequently,9,7,1,8,10,3,4,3,4,3,2,2,2,No
13,Healthcare Representative,R&D,Travel_Rarely,7,7,7,7,17,2,3,3,3,2,2,3,3,No
14,Laboratory Technician,R&D,Travel_Rarely,5,4,0,3,6,1,3,2,1,3,3,4,5,No
15,Laboratory Technician,R&D,Travel_Rarely,9,5,0,8,10,2,3,3,4,3,4,2,3,Yes
16,Research Scientist,R&D,Travel_Rarely,5,2,4,3,5,1,3,3,1,2,4,3,1,No
18,Laboratory Technician,R&D,Travel_Rarely,2,2,1,2,3,1,3,4,2,3,3,3,2,No
19,Laboratory Technician,R&D,Travel_Rarely,4,2,0,3,6,1,3,3,3,3,2,2,4,Yes
20,Manufacturing Director,R&D,Travel_Rarely,10,9,8,8,10,3,3,1,2,3,3,4,1,No
21,Research Scientist,R&D,Travel_Rarely,6,2,0,5,7,1,3,2,1,2,4,4,5,Yes
22,Laboratory Technician,R&D,Non-Travel,1,0,0,0,1,1,3,4,4,2,2,4,2,Yes
23,Manager,Sales,Travel_Rarely,25,8,3,7,31,4,3,4,1,3,3,2,3,No
24,Research Scientist,R&D,Travel_Rarely,3,2,1,2,6,1,3,4,4,3,3,3,3,Yes
26,Manufacturing Director,R&D,Non-Travel,4,2,1,3,5,2,3,3,1,2,4,4,5,No
27,Sales Representative,Sales,Travel_Rarely,5,3,0,3,10,1,4,1,3,3,2,2,4,No
28,Research Director,R&D,Travel_Rarely,12,6,2,11,13,3,3,2,1,3,3,3,4,No
30,Research Scientist,R&D,Travel_Rarely,0,0,0,0,0,1,3,4,3,3,4,3,6,No
31,Research Scientist,R&D,Travel_Rarely,4,2,1,3,8,1,3,1,2,3,3,3,2,No
